Author;ID;PIDs;Keywords
Ljung, Carl;104;1471564;cyber-physical systems,behavior trees,simulation,mission planning,field testing,system integration.
Folkesson, John;105;1471564,911794,12342;cyber-physical systems,behavior trees,simulation,mission planning,field testing,system integration.,neural net,computer science
Ögren, Petter;106;1471564,1707655;cyber-physical systems,behavior trees,simulation,mission planning,field testing,system integration.,autonomous systems,stability of hybrid systems,switched systems
Holmgren, Helena;ed9731a9-6f07-4aef-99eb-219a8fc4f0d0;817907;
GIRAULT, NICOLAS;275284ed-7fae-45af-98b0-b1322c836016;753077;
BLOMQVIST, NIKLAS;107;770763;
HYGERTH, HENRIK;108;770763;
Zamanisiboni, Amirreza;109;1542074;chi(2)-privacy criterion,privacy mechanism design,euclidean information geometry
Oechtering, Tobias J.;110;1542074,1107165,1579745;chi(2)-privacy criterion,privacy mechanism design,euclidean information geometry,biometrics (access control),noise measurement,privacy,authentication,databases,indexes,data privacy,biometrics,identification systems,noisy enrollment,secrecy
Skoglund, Mikael;111;1542074,400051,1355470,1763975,1107165,1579745,398986;chi(2)-privacy criterion,privacy mechanism design,euclidean information geometry,communication costs,design trade-offs,estimation performance,estimation qualities,heterogeneous sensor networks,high qualities,localization systems,low qualities,optimal schedules,processing delays,sensor communications,sensor scheduling,stable time,switching rules,ultrasound sensors,communication,control theory,estimation,heterogeneous networks,kalman filters,riccati equations,sensor networks,machine learning,optimization,non-convex,data compression,biometrics (access control),noise measurement,privacy,authentication,databases,indexes,data privacy,biometrics,identification systems,noisy enrollment,secrecy,wireless sensor node design,receiver,simulator,transceiver circuits,system-level design and performance verification
Serra, Andreas;1161;1163624,668705;difference,analysis,similar,document,relative,utility
Richter, Simon;be24858e-4614-43d0-8412-b70c4332c0e0;1788175;phase-locked-loops,all-digital phase-locked-loops,time-to-digital converters,5g and beyond,radio-frequency design,fas-låsd-loop,helt-digital fas-låst-loop,tid-till-digital-omvandlare,5g och framtiden,radio-frekvens design
Laptev, Ivan;112;443263,338656,443275,441205,444655,335153,441155,442088,440686,473371,442100;matching,scale-space,image features,tracking,recognition,multi-scale representations,automatic road extraction,aerial imagery,snakes,multi-scale,evaluation,ridge detection,edge-detection,selection,motion,local features,motion descriptors,velocity adaptation,action recognition,learning,svm,human movement,representation,scale,acceleration,computer vision,event detection,image motion analysis,indexing,layout,motion analysis,optical computing,spatiotemporal phenomena,videoconference
